city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.943601007234721,0.8970022851130515,0.9472194407526507,0.9322820328904934,0.9614259255900134,0.9407884879360704,0.9516967072015045
0.9462974814888733
