Weather score
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.7274688266277743,nan,0.7200290023510336,0.7275258165433907,0.7555756998279326,0.763099528667222,0.7276621141152292
0.7325703580436244,0.4280969749431692,0.7415747139205404,0.7080604996733109,0.7593631301776422,0.7696378460206175,0.7361096951673826
0.8343018716211965,0.856976702053384,0.8336960141000103,0.8316366959618596,0.8264076124519942,0.834853492901833,0.7912310218950102
0.40856138214918225,0.08601493920993376,0.41507368599700445,0.32139599805861485,0.3586574546069974,0.43595194075584615,0.40553524191278745
0.37068136006737284,0.70421341677088,0.31623708436578923,0.428191375008216,0.4579857423915182,0.2834445330621497,0.4743373705551738
0.6943032132365785,0.8436239346725449,0.6784441624123265,0.7208791675673125,0.6858506917673562,0.7634000402206594,0.7350226504166658
0.47181442449656263,nan,0.4894668411347081,0.49556353291853816,0.5371376321351451,0.5085553230097114,0.5471635692304296
0.5493387590597643,0.27739934044361336,0.5700640352760253,0.5537833600215907,0.5150766144842368,0.5349594105133844,0.5804730779377596
0.5373477467979445,nan,0.605981963338114,0.5049406958945043,0.5467372431131615,0.5341694705447614,0.4236643507478175
0.04714457296837459,nan,nan,0.007134439326281701,0.012660829508577288,0.2760059809009429,nan
Weather accuracy
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.6735582154515778,nan,0.6611295681063123,0.6711915535444947,0.6905158069883528,0.7100694444444444,0.6757369614512472
0.6836183618361836,0.4,0.6833855799373041,0.6272189349112426,0.7170263788968825,0.7178770949720671,0.6858288770053476
0.8130115133860453,0.8,0.8074842200180342,0.8076079005120702,0.7972027972027972,0.8122362869198312,0.7564482029598308
0.24166666666666667,0.0,0.25,0.19444444444444445,0.24444444444444444,0.23076923076923078,0.2755905511811024
0.1793478260869565,0.0,0.14516129032258066,0.24691358024691357,0.3548387096774194,0.18181818181818182,0.3
0.6189710610932476,0.5,0.610062893081761,0.6534883720930232,0.6004784688995215,0.71571072319202,0.6872852233676976
0.29635036496350364,nan,0.3488372093023256,0.29927007299270075,0.37593984962406013,0.3333333333333333,0.4125560538116592
0.4515093127809891,0.0,0.4506065857885615,0.4381188118811881,0.40161725067385445,0.42671009771986973,0.4846153846153846
0.3893805309734513,nan,0.45217391304347826,0.3,0.4423076923076923,0.39325842696629215,0.33532934131736525
0.0,nan,nan,0.0,0.0,0.0,nan
Scene score
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.7336898229443188,0.9806058180632716,0.7201936091991773,0.7275322987066254,0.7553517994756177,0.8965394972385425,0.9442618627861007
0.7446716812231028,0.9885958703382144,0.6871786372809106,0.6888684460652403,0.7516565384914166,0.44458141675429125,0.40081612711824816
0.8175235734992283,0.7394255585640122,0.8375211395801417,0.8392247678959328,0.8595722960918338,0.8548326803678915,0.7898836371618543
0.41544546617369504,nan,0.4039679914778033,nan,0.254963255256526,nan,nan
0.4060780815301626,nan,0.27824898387086855,0.045764890573259866,0.37266181189799163,nan,0.2522971696940265
0.7186485071290117,0.35006119071846276,0.6097720128254147,0.6811981948839344,0.680012959920947,0.9452504616250402,0.7513274556190057
0.5005384278094166,nan,0.45418540352203707,0.7715020036854827,0.5317803602401342,0.8443093862990507,nan
0.5675293703800168,0.7090691205228395,0.5360554480018651,0.30272296764742873,0.5020989507528942,0.3400358260722032,0.4423432252998499
0.5215815942492098,0.4197815528623149,0.5475710638937763,nan,0.47248688934244976,nan,nan
0.11310027923612212,nan,0.16257035887985316,nan,nan,nan,nan
Scene accuracy
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.6811500216169477,1.0,0.6559241706161137,0.65,0.7091932457786116,1.0,1.0
0.6938612808929046,1.0,0.6251993620414673,0.6153846153846154,0.7021943573667712,0.3333333333333333,0.3333333333333333
0.7898795180722892,0.7037037037037037,0.8128804870233899,0.8181818181818182,0.8471275559883155,0.8125,0.7692307692307693
0.26744186046511625,nan,0.225,nan,0.04,nan,nan
0.22580645161290322,nan,0.07692307692307693,0.0,0.22,nan,0.0
0.6575374531835206,0.3333333333333333,0.4888888888888889,0.5454545454545454,0.61,1.0,0.5714285714285714
0.34,nan,0.2766798418972332,0.5,0.3504273504273504,1.0,nan
0.46258503401360546,0.75,0.4316877152698048,0.2222222222222222,0.38801261829652994,0.2,0.4444444444444444
0.38461538461538464,0.5,0.46153846153846156,nan,0.35,nan,nan
0.0,nan,0.0,nan,nan,nan,nan
Timeofday score
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.7111107440323724,0.7272983407850606,0.7445454611826542,0.6943840526916346
0.741530173921761,0.7244456501630392,0.7600730622670984,0.23969265129347503
0.8234253002369285,0.8238937916460248,0.8362774519687622,0.8362120805857433
0.3290739760160849,0.42687257616837776,0.33480972360248695,nan
0.3172839766695206,0.4116347230507708,0.33803429071888985,nan
0.7044601167950385,0.7140539964896707,0.6947419310399138,0.9458586871096943
0.5008787641499942,0.5107257536663956,0.44374142314759263,0.8443093862990507
0.5005590700876904,0.572247885432462,0.5052790136017127,0.30248172272774315
0.65442960438542,0.5112406739925232,0.4944068137773479,0.9637191796204154
nan,0.1752422837255096,0.1128567552883432,nan
Timeofday accuracy
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.6502384737678856,0.6676183678325006,0.698051948051948,0.6
0.6875,0.6644736842105263,0.7219010918432883,0.16666666666666666
0.7951541850220264,0.7961443023477763,0.8196803196803197,0.7948717948717948
