Weather score
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
0.6924105650284186,1.0,0.6746526114039291,0.627906976744186,0.7298624754420432,1.0,0.9411764705882353
0.7208493282149712,1.0,0.6666666666666666,0.6428571428571429,0.7195994277539342,0.625,0.5
0.7876470303499685,0.6666666666666666,0.8058917197452229,0.8290155440414507,0.836105675146771,0.868421052631579,0.7633587786259542
0.2857142857142857,nan,0.19230769230769232,nan,0.1,nan,nan
0.2443502824858757,nan,0.09615384615384616,0.3333333333333333,0.21568627450980393,nan,0.0
0.6493490077107824,0.5,0.493891797556719,0.45,0.5661375661375662,1.0,0.6428571428571429
0.3520197856553998,nan,0.3051181102362205,0.25,0.36752136752136755,1.0,nan
0.4802827380952381,0.625,0.4503386004514673,0.2571428571428571,0.42543171114599687,0.09090909090909091,0.3888888888888889
0.38385502471169686,0.25,0.4810126582278481,nan,0.3902439024390244,nan,nan
0.0,nan,0.0,nan,nan,nan,nan
Timeofday score
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.7300526118149967,0.7375367074171995,0.7483512872697206,0.8350523538834317
0.7525833869910633,0.7433017757892111,0.7904205337683822,0.3057951431255362
0.8275859667144108,0.8248363503987873,0.8383507636993583,0.8720716273918112
0.3676306815241973,0.4389369823168964,0.3347928753806047,nan
0.3440310538184983,0.42922309669498665,0.32175937830108975,nan
0.7030565144503245,0.7072036167269409,0.6915769648948751,0.8610383792674969
0.5571802624718941,0.5264359267894204,0.4727747271997044,0.8553655625170619
0.5273841191054297,0.584072366930983,0.516903006057029,0.2862249012724863
0.6743694313311475,0.520356220756314,0.4817518987791062,0.9631792761736646
nan,0.20077235771665503,0.124708395576838,nan
Timeofday accuracy
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.674979887369268,0.6834348355663825,0.7053515215110179,0.8
0.7046908315565032,0.6871891613788372,0.7578293736501079,0.23076923076923078
0.7980132450331126,0.7905331624175094,0.8171340760660776,0.8641975308641975
0.26851851851851855,0.2875586854460094,0.1689497716894977,nan
0.1864406779661017,0.26,0.13496932515337423,nan
0.6292875989445911,0.6388977381331634,0.6194174757281553,0.8125
0.3900414937759336,0.3487450462351387,0.3181818181818182,1.0
0.41679160419790107,0.4856942250307179,0.42193808882907136,0.14285714285714285
0.5673076923076923,0.3907815631262525,0.3102189781021898,1.0
nan,0.0,0.0,nan
