Weather score
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.7330473788732783,nan,0.7331112171554186,0.7290606861659324,0.7597427447522039,0.7741301266127425,0.7289700923458922
0.7695750822170748,0.5460990666878188,0.7675480795986332,0.7231876642309816,0.7817669269810337,0.8003640397802456,0.7517960852318479
0.8394488097267296,0.8866540600119815,0.8401190600948001,0.8395617048949892,0.8389738722128941,0.8412888127337866,0.8022616699192155
0.38804681976388405,0.149473019469374,0.41695907999658177,0.3352484748949373,0.3415645009240496,0.41805044130190605,0.3902664613102395
0.37869611908458867,0.5596212939677183,0.31932272014753726,0.4689787764479499,0.450516569415415,0.24152763572350738,0.49662268701331835
0.6915431032469037,0.6496107157273636,0.6750438680713505,0.717069211247849,0.6831797519706934,0.7537764365463544,0.7215450200677582
0.46844526810353226,nan,0.48178676015930905,0.4934474978656373,0.5368708422287968,0.5027390943407395,0.5362829810822562
0.5404937604827893,0.20860234273294206,0.5570678703772678,0.549164745306261,0.5163546026417345,0.5308121472738057,0.5619790763019263
0.5593005052185038,nan,0.6320651423391613,0.5182900248013418,0.5507219668018362,0.5532747537084084,0.42671800608527133
0.06951551955188696,nan,nan,0.004913009205048228,0.014536346750770729,0.3065901659731232,nan
Weather accuracy
clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.6834014399688655,nan,0.680565897244974,0.6684378320935175,0.6983372921615202,0.7259439707673568,0.6833333333333333
0.7297684411554071,0.5,0.7219730941704036,0.6563636363636364,0.7493112947658402,0.7617554858934169,0.7032878909382518
0.8160821214713431,0.8636363636363636,0.8137589092035946,0.8141941843272548,0.8111888111888111,0.8182701652089407,0.7712037306907608
0.22792022792022792,0.0,0.26174496644295303,0.18867924528301888,0.22727272727272727,0.21052631578947367,0.25824175824175827
0.20212765957446807,0.0,0.15789473684210525,0.2926829268292683,0.375,0.125,0.3246753246753247
0.6188876446435237,0.3333333333333333,0.6065573770491803,0.6495176848874598,0.5989932885906041,0.7049469964664311,0.66626936829559
0.3,nan,0.33866666666666667,0.30808080808080807,0.38461538461538464,0.33658536585365856,0.39751552795031053
0.4427294882209586,0.0,0.4520396912899669,0.4439252336448598,0.4017391304347826,0.4282744282744283,0.46214355948869223
0.4227405247813411,nan,0.5170454545454546,0.3111111111111111,0.44871794871794873,0.43356643356643354,0.33858267716535434
0.0,nan,nan,0.0,0.0,0.0,nan
Scene score
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.740548967606226,0.9806058180632716,0.7239276464886156,0.7134020887741828,0.7645660763153699,0.8965394972385425,0.8791430101503693
0.7735118709212457,0.9873134492585368,0.7242505838827781,0.6946816381520216,0.7730986671982066,0.6968150669344518,0.514428909000463
0.8249467208399102,0.7239477728455566,0.8461189727567334,0.8442322136239715,0.8634497827743097,0.8952319852501758,0.8015221359837951
0.4019103309147644,nan,0.3691223204800168,nan,0.2705091689615228,nan,nan
0.41582945599263954,nan,0.28886920655993514,0.285844348360423,0.39617324228901385,nan,0.21299429767017833
0.7125967862555906,0.5053471296908034,0.6094040493304514,0.5926680643134882,0.6667951727976689,0.9592927892754494,0.7604435552755373
0.4985961330824811,nan,0.44520343231275766,0.6038974711595957,0.5092440002011427,0.8443093862990507,nan
0.5590758639264903,0.7119780301019901,0.5186458819133082,0.31007708101402826,0.5048863344038649,0.2196290778129289,0.5054412638511101
0.5384424170333066,0.377240261085531,0.5490087498650766,nan,0.4951967248830787,nan,nan
0.1515755621104495,nan,0.16961086601243494,nan,nan,nan,nan
Scene accuracy
city street,gas stations,highway,parking lot,residential,tunnel,undefined
6112,7,2499,49,1253,27,53
0.6904472163066626,1.0,0.6675594241714095,0.6451612903225806,0.7208672086720868,1.0,0.9090909090909091
0.7317253625332939,1.0,0.6743566992014197,0.6666666666666666,0.7311827956989247,0.6666666666666666,0.375
0.7975354445475024,0.65,0.818809318377912,0.8315412186379928,0.8503054989816701,0.8888888888888888,0.7755102040816326
0.2546916890080429,nan,0.2033898305084746,nan,0.06666666666666667,nan,nan
0.2509578544061303,nan,0.10256410256410256,0.25,0.2236842105263158,nan,0.0
0.6501305483028721,0.5,0.4977578475336323,0.4666666666666667,0.5899772209567198,1.0,0.6363636363636364
0.3394495412844037,nan,0.2786885245901639,0.3333333333333333,0.35294117647058826,1.0,nan
0.45582954273401965,0.6666666666666666,0.41691176470588237,0.25925925925925924,0.40763052208835343,0.125,0.42857142857142855
0.4140197152245345,0.3333333333333333,0.4666666666666667,nan,0.4126984126984127,nan,nan
0.0,nan,0.0,nan,nan,nan,nan
Timeofday score
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.7213593904109747,0.7335783402140388,0.7488698449956842,0.8234461896610652
0.7618301896104632,0.7450717023604345,0.8015846965152922,0.27320347307536563
0.8298672861696822,0.8306968955500137,0.8443782260141535,0.8729104716627497
0.3400609641679361,0.4131099698718032,0.31616922393298147,nan
0.30929228646815293,0.4315933092977592,0.3285623553996494,nan
0.7047818504238151,0.7070325732790472,0.689245103423093,0.8661627213985136
0.5192554403951889,0.5044810325497014,0.4353156389715477,0.8443093862990507
0.49819419929142145,0.5628518740924139,0.49304454393128955,0.1910583345179103
0.688025011626089,0.5301859541657465,0.4942041784436375,0.9631792761736646
nan,0.20947337030660473,0.12329261945551077,nan
Timeofday accuracy
dawn/dusk,daytime,night,undefined
778,5258,3929,35
0.6640883977900552,0.6781265570503239,0.7062445030782761,0.7777777777777778
