clear,foggy,overcast,partly cloudy,rainy,snowy,undefined
5346,13,1239,738,738,769,1157
0.9527439136329678,0.9487202225083509,0.9443721547548625,0.9393035396288382,0.9384629450489614,0.9455786583953315,0.932382043874224
0.9462974814888732
